# E (eV)   doscond(E)
    0.126126126    1.865257136
    0.135135135    1.848388917
    0.144144144    1.832390812
    0.153153153    1.817280300
    0.162162162    1.803091939
    0.171171171    1.789882310
    0.180180180    1.777737264
    0.189189189    1.766782695
    0.198198198    1.757200926
    0.207207207    1.749256276
    0.216216216    1.743336262
    0.225225225    1.740020594
    0.234234234    1.740202239
    0.243243243    1.745312485
    0.252252252    1.757771075
    0.261261261    1.781977105
    0.270270270    1.826799581
    0.279279279    1.913211273
    0.288288288    2.107245684
    0.297297297    2.854167260
    0.306306306    1.309860726
    0.315315315    0.407066450
    0.324324324    0.041724836
    0.333333333    0.026273427
    0.342342342    0.023854822
    0.351351351    0.028924953
    0.360360360    0.061896337
    0.369369369    1.882722971
    0.378378378    1.180882963
    0.387387387    2.427965063
    0.396396396    1.908721517
    0.405405405    1.731781277
    0.414414414    1.637810261
    0.423423423    1.577989590
    0.432432432    1.535627504
    0.441441441    1.503369953
    0.450450450    1.477463609
    0.459459459    1.455795742
    0.468468468    1.437089903
    0.477477477    1.420532143
    0.486486486    1.405580754
    0.495495495    1.391862421
    0.504504505    1.379112276
    0.513513514    1.367137699
    0.522522523    1.355795600
    0.531531532    1.344977696
    0.540540541    1.334600699
    0.549549550    1.324599614
    0.558558559    1.314923066
    0.567567568    1.305529973
    0.576576577    1.296387142
    0.585585586    1.287467500
    0.594594595    1.278748775
    0.603603604    1.270212505
    0.612612613    1.261843276
    0.621621622    1.253628136
    0.630630631    1.245556138
    0.639639640    1.237617976
    0.648648649    1.229805705
    0.657657658    1.222112507
    0.666666667    1.214532508
    0.675675676    1.207060629
    0.684684685    1.199692460
    0.693693694    1.192424165
    0.702702703    1.185252394
    0.711711712    1.178174215
    0.720720721    1.171187061
    0.729729730    1.164288677
    0.738738739    1.157477084
    0.747747748    1.150750548
    0.756756757    1.144107551
    0.765765766    1.137546772
    0.774774775    1.131067069
    0.783783784    1.124667473
    0.792792793    1.118347175
    0.801801802    1.112105532
    0.810810811    1.105942069
    0.819819820    1.099856494
    0.828828829    1.093848716
    0.837837838    1.087918888
    0.846846847    1.082067451
    0.855855856    1.076295216
    0.864864865    1.070603477
    0.873873874    1.064994178
    0.882882883    1.059470170
    0.891891892    1.054035601
    0.900900901    1.048696546
    0.909909910    1.043462021
    0.918918919    1.038345741
    0.927927928    1.033369251
    0.936936937    1.028567893
    0.945945946    1.024003020
    0.954954955    1.019789450
    0.963963964    1.016165231
    0.972972973    1.013702074
    0.981981982    1.014127662
    0.990990991    1.025402479
    1.000000000    1.172415406
    1.009009009    3.312530415
    1.018018018    2.405067923
    1.027027027    2.097769765
    1.036036036    1.929321533
    1.045045045    1.818642686
    1.054054054    1.738443538
    1.063063063    1.676627500
    1.072072072    1.626904513
    1.081081081    1.585639163
    1.090090090    1.550565258
    1.099099099    1.520187322
    1.108108108    1.493473536
    1.117117117    1.469686019
    1.126126126    1.448281317
    1.135135135    1.428849180
    1.144144144    1.411073344
    1.153153153    1.394705562
    1.162162162    1.379547886
    1.171171171    1.365440284
    1.180180180    1.352251786
    1.189189189    1.339874028
    1.198198198    1.328216469
    1.207207207    1.317202787
    1.216216216    1.306768125
    1.225225225    1.296856965
    1.234234234    1.287421463
    1.243243243    1.278420130
    1.252252252    1.269816785
    1.261261261    1.261579706
    1.270270270    1.253680946
    1.279279279    1.246095770
    1.288288288    1.238802189
    1.297297297    1.231780583
    1.306306306    1.225013373
    1.315315315    1.218484758
    1.324324324    1.212180486
    1.333333333    1.206087661
    1.342342342    1.200194582
    1.351351351    1.194490597
    1.360360360    1.188965991
    1.369369369    1.183611874
    1.378378378    1.178420094
    1.387387387    1.173383162
    1.396396396    1.168494176
    1.405405405    1.163746771
    1.414414414    1.159135057
    1.423423423    1.154653578
    1.432432432    1.150297271
    1.441441441    1.146061429
    1.450450450    1.141941669
    1.459459459    1.137933902
    1.468468468    1.134034310
    1.477477477    1.130239322
    1.486486486    1.126545594
    1.495495495    1.122949991
    1.504504505    1.119449567
    1.513513514    1.116041557
    1.522522523    1.112723357
    1.531531532    1.109492516
    1.540540541    1.106346722
    1.549549550    1.103283795
