112	-2.51167	-2.48097	-3.28525	-3.29013	 0.43821	 0.21889	-3.04676	-2.99062	 0.53671	 0.54903	 0.12260	 0.08948	
113	-4.07808	-4.08841	-3.15242	-3.16027	 0.38318	 0.15774	-3.07806	-3.00607	 0.30320	 0.31933	 0.02911	-0.00957	
114	-5.58861	-5.64088	-2.99422	-3.00592	 0.31384	 0.08929	-3.09557	-3.00415	 0.04653	 0.06719	-0.07385	-0.11878	
115	-6.81833	-6.90303	-2.83456	-2.85045	 0.24095	 0.02369	-3.09539	-2.98374	-0.19279	-0.16761	-0.17029	-0.22123	
116	-7.87083	-7.98625	-2.66389	-2.68454	 0.16094	-0.04360	-3.07815	-2.94414	-0.42934	-0.39937	-0.26625	-0.32335	
117	-8.73943	-8.88576	-2.48345	-2.50939	 0.07503	-0.11228	-3.04274	-2.88427	-0.65947	-0.62449	-0.36049	-0.42386	
118	-9.42060	-9.59856	-2.29446	-2.32619	-0.01539	-0.18201	-2.98820	-2.80320	-0.87962	-0.83948	-0.45174	-0.52145	
119	-9.91356	-10.12383	-2.09814	-2.13610	-0.10886	-0.25238	-2.91375	-2.70017	-1.08633	-1.04094	-0.53875	-0.61483	
120	-10.22009	-10.46308	-1.89567	-1.94022	-0.20382	-0.32283	-2.81877	-2.57466	-1.27634	-1.22568	-0.62034	-0.70274	
121	-10.34653	-10.62479	-1.67203	-1.72404	-0.30588	-0.39799	-2.69308	-2.41399	-1.45884	-1.40254	-0.70079	-0.78994	
122	-10.28181	-10.59241	-1.46033	-1.51952	-0.39869	-0.46620	-2.55447	-2.24108	-1.60484	-1.54345	-0.76745	-0.86273	
123	-10.05068	-10.39278	-1.24581	-1.31232	-0.48788	-0.53184	-2.39488	-2.04559	-1.72580	-1.65951	-0.82535	-0.92659	
124	-9.66392	-10.03630	-1.02945	-1.10336	-0.57174	-0.59376	-2.21469	-1.82807	-1.81972	-1.74881	-0.87357	-0.98055	
125	-9.13414	-9.53517	-0.81216	-0.89347	-0.64855	-0.65066	-2.01456	-1.58941	-1.88499	-1.80982	-0.91131	-1.02377	
126	-8.47559	-8.90327	-0.59480	-0.68341	-0.71661	-0.70117	-1.79545	-1.33081	-1.92045	-1.84146	-0.93791	-1.05554	
127	-7.70396	-8.15595	-0.37816	-0.47392	-0.77426	-0.74383	-1.55864	-1.05384	-1.92541	-1.84308	-0.95282	-1.07527	
128	-6.83613	-7.30977	-0.16298	-0.26564	-0.81993	-0.77720	-1.30569	-0.76038	-1.89960	-1.81450	-0.95565	-1.08253	
129	-5.81444	-6.30814	 0.06634	-0.04337	-0.85400	-0.80109	-1.01742	-0.42848	-1.83765	-1.75025	-0.94491	-1.07607	
130	-4.80466	-5.31370	 0.27638	 0.16054	-0.87019	-0.81065	-0.73733	-0.10832	-1.74917	-1.66029	-0.92205	-1.05668	
131	-3.75563	-4.27665	 0.48307	 0.36158	-0.87033	-0.80681	-0.44787	 0.22038	-1.63203	-1.54232	-0.88684	-1.02446	
132	-2.68660	-3.21611	 0.68590	 0.55929	-0.85353	-0.78854	-0.15185	 0.55439	-1.48781	-1.39786	-0.83955	-0.97960	
133	-1.61677	-2.15116	 0.88440	 0.75329	-0.81918	-0.75506	 0.14765	 0.89018	-1.31841	-1.22878	-0.78057	-0.92249	
134	-0.56502	-1.10064	 1.07816	 0.94322	-0.76699	-0.70590	 0.44721	 1.22392	-1.12608	-1.03715	-0.71046	-0.85367	
135	 0.45034	-0.08283	 1.26680	 1.12877	-0.69707	-0.64093	 0.74309	 1.55150	-0.91326	-0.82521	-0.62995	-0.77381	
136	 1.41181	 0.88472	 1.44998	 1.30963	-0.60995	-0.56042	 1.03107	 1.86842	-0.68245	-0.59512	-0.53990	-0.68378	
137	 2.36811	 1.85156	 1.64077	 1.49885	-0.49802	-0.45714	 1.32677	 2.19204	-0.41641	-0.32909	-0.43340	-0.57656	
138	 3.16647	 2.66328	 1.81160	 1.66915	-0.37885	-0.34713	 1.58148	 2.46977	-0.15483	-0.06597	-0.32688	-0.46867	
139	 3.86444	 3.37788	 1.97605	 1.83398	-0.24707	-0.22527	 1.80851	 2.71756	 0.12091	 0.21399	-0.21430	-0.35402	
140	 4.44997	 3.98313	 2.13383	 1.99311	-0.10519	-0.09376	 1.99487	 2.92349	 0.41512	 0.51680	-0.09700	-0.23396	
141	 4.91276	 4.46847	 2.28468	 2.14629	 0.04375	 0.04468	 2.11719	 3.06569	 0.74218	 0.85894	 0.02358	-0.10992	
142	 5.24440	 4.82520	 2.42833	 2.29329	 0.19626	 0.18686	 2.12670	 3.09538	 1.14363	 1.28244	 0.14592	 0.01662	
143	 5.43844	 5.04659	 2.56450	 2.43383	 0.34836	 0.32912	 1.90665	 2.87943	 1.74583	 1.89764	 0.26850	 0.14409	
144	 5.49050	 5.12788	 2.69290	 2.56764	 0.49568	 0.46738	 1.15409	 1.97421	 2.98609	 3.00141	 0.38972	 0.27093	
145	 5.38515	 5.05572	 2.82214	 2.70386	 0.64355	 0.60669	-0.79606	-1.53734	 6.79474	 5.27416	 0.51694	 0.40499	
146	 5.13731	 4.83983	 2.93341	 2.82267	 0.76551	 0.72208	 0.04513	-3.44083	 8.90984	 4.67538	 0.63031	 0.52544	
147	 4.74702	 4.48217	 3.03593	 2.93371	 0.86735	 0.81892	 4.20908	 3.03005	 2.58471	 0.69404	 0.73753	 0.64042	
148	 4.21832	 3.98635	 3.12934	 3.03658	 0.94375	 0.89210	 4.17105	 3.66245	 2.02950	 0.85066	 0.83711	 0.74843	
149	 3.55720	 3.35794	 3.21329	 3.13082	 0.98940	 0.93647	 3.58759	 3.37915	 2.32012	 1.48477	 0.92765	 0.84806	
150	 2.77149	 2.60437	 3.28739	 3.21595	 0.99910	 0.94696	 3.19029	 3.15202	 2.48536	 1.86071	 1.00787	 0.93797	
151	 1.87078	 1.73484	 3.35127	 3.29146	 0.96787	 0.91870	 2.91277	 2.99643	 2.51398	 2.03914	 1.07656	 1.01695	
152	 0.86620	 0.76021	 3.40455	 3.35677	 0.89106	 0.84709	 2.67162	 2.88504	 2.44601	 2.09109	 1.13267	 1.08390	
153	-0.31735	-0.39273	 3.44964	 3.41503	 0.75256	 0.71669	 2.35395	 2.83795	 2.29629	 2.05188	 1.17801	 1.14146	
154	-1.49605	-1.54463	 3.47972	 3.45722	 0.56830	 0.54227	 1.83846	 2.99021	 2.10486	 1.95128	 1.20530	 1.18057	
155	-2.73621	-2.75946	 3.49811	 3.48729	 0.32741	 0.31338	 2.60923	 1.81222	 1.87532	 1.80309	 1.21777	 1.20524	
156	-4.02166	-4.02166	 3.50452	 3.50452	 0.02774	 0.02774	 1.97981	 1.97981	 1.61674	 1.61674	 1.21504	 1.21504	
157	-5.43802	-5.41447	 3.49765	 3.50799	-0.36223	-0.34497	 1.66528	 1.73011	 1.31428	 1.38165	 1.19492	 1.20869	
158	-6.66316	-6.61973	 3.48018	 3.49790	-0.75239	-0.71865	 1.39191	 1.46344	 1.04111	 1.15738	 1.16351	 1.18925	
