Theta(deg) =   0.000000 , Phi(deg) =   0.000000 , Number of orbits =     7 , (Angstrom^-1) units
Slice   =    186 , Freq(kT, average of all copies)              =   0.3115
Orbit # =      0 , Freq(kT, this largest copy used for outline) =   0.3142
Points  =     43
  1.100305E+01  8.402541E+00 -2.063984E+00
  1.098986E+01  8.414057E+00 -2.063409E+00
  1.097476E+01  8.439640E+00 -2.062749E+00
  1.094646E+01  8.426766E+00 -2.061514E+00
  1.094297E+01  8.414057E+00 -2.061361E+00
  1.094646E+01  8.406123E+00 -2.061514E+00
  1.095758E+01  8.385734E+00 -2.061999E+00
  1.094646E+01  8.366572E+00 -2.061514E+00
  1.094439E+01  8.357411E+00 -2.061423E+00
  1.094646E+01  8.352704E+00 -2.061514E+00
  1.096298E+01  8.329088E+00 -2.062235E+00
  1.096292E+01  8.300765E+00 -2.062232E+00
  1.097441E+01  8.272442E+00 -2.062734E+00
  1.097476E+01  8.271541E+00 -2.062749E+00
  1.098434E+01  8.244119E+00 -2.063167E+00
  1.099025E+01  8.215795E+00 -2.063425E+00
  1.100305E+01  8.197569E+00 -2.063984E+00
  1.101056E+01  8.187472E+00 -2.064312E+00
  1.100355E+01  8.159149E+00 -2.064006E+00
  1.103135E+01  8.131868E+00 -2.065220E+00
  1.103272E+01  8.130826E+00 -2.065280E+00
  1.104895E+01  8.102503E+00 -2.065988E+00
  1.105964E+01  8.092136E+00 -2.066455E+00
  1.107745E+01  8.074180E+00 -2.067233E+00
  1.108794E+01  8.063146E+00 -2.067691E+00
  1.111624E+01  8.047462E+00 -2.068926E+00
  1.112521E+01  8.045857E+00 -2.069318E+00
  1.114453E+01  8.043142E+00 -2.070162E+00
  1.114553E+01  8.045857E+00 -2.070205E+00
  1.114453E+01  8.047813E+00 -2.070162E+00
Slice   =     72 , Freq(kT, average of all copies)              =   0.3461
Orbit # =      0 , Freq(kT, this largest copy used for outline) =   0.3528
Points  =     35
  kx            ky            kz
  4.711990E+00  4.161917E+00 -3.873807E-01
  4.683694E+00  4.158051E+00 -3.861453E-01
  4.655398E+00  4.154984E+00 -3.849099E-01
  4.627102E+00  4.142514E+00 -3.836744E-01
  4.622802E+00  4.137960E+00 -3.834867E-01
  4.598805E+00  4.120135E+00 -3.824390E-01
  4.589663E+00  4.109637E+00 -3.820398E-01
  4.577895E+00  4.081314E+00 -3.815260E-01
  4.570509E+00  4.069176E+00 -3.812035E-01
  4.563181E+00  4.052991E+00 -3.808836E-01
  4.542213E+00  4.025409E+00 -3.799681E-01
  4.541200E+00  4.024668E+00 -3.799239E-01
  4.513917E+00  4.007395E+00 -3.787327E-01
  4.504139E+00  3.996345E+00 -3.783057E-01
  4.495813E+00  3.968021E+00 -3.779422E-01
  4.505765E+00  3.939698E+00 -3.783767E-01
  4.513917E+00  3.921290E+00 -3.787327E-01
  4.524988E+00  3.911375E+00 -3.792160E-01
  4.542213E+00  3.904036E+00 -3.799681E-01
  4.570509E+00  3.906177E+00 -3.812035E-01
  4.585505E+00  3.911375E+00 -3.818583E-01
  4.598805E+00  3.916463E+00 -3.824390E-01
  4.627102E+00  3.929737E+00 -3.836744E-01
  4.634558E+00  3.939698E+00 -3.840000E-01
  4.645913E+00  3.968021E+00 -3.844957E-01
  4.655398E+00  3.991499E+00 -3.849099E-01
  4.657629E+00  3.996345E+00 -3.850073E-01
  4.683694E+00  4.023931E+00 -3.861453E-01
  4.684795E+00  4.024668E+00 -3.861934E-01
  4.711990E+00  4.043744E+00 -3.873807E-01
  4.718632E+00  4.052991E+00 -3.876707E-01
  4.730980E+00  4.081314E+00 -3.882098E-01
  4.732572E+00  4.109637E+00 -3.882794E-01
  4.723227E+00  4.137960E+00 -3.878714E-01
  4.711990E+00  4.161917E+00 -3.873807E-01
Slice   =     51 , Freq(kT, average of all copies)              =   0.3480
Orbit # =      0 , Freq(kT, this largest copy used for outline) =   0.3598
Points  =     43
  kx            ky            kz
  3.850275E-01  1.471715E+00 -7.938139E-01
  3.698757E-01  1.499734E+00 -7.931523E-01
  3.705959E-01  1.528058E+00 -7.931838E-01
  3.640051E-01  1.556381E+00 -7.928960E-01
  3.615382E-01  1.584704E+00 -7.927883E-01
  3.567313E-01  1.602411E+00 -7.925784E-01
  3.532035E-01  1.613027E+00 -7.924244E-01
  3.430151E-01  1.641350E+00 -7.919796E-01
  3.376305E-01  1.669673E+00 -7.917445E-01
  3.284352E-01  1.682563E+00 -7.913430E-01
  3.139828E-01  1.697996E+00 -7.907120E-01
  3.001390E-01  1.713686E+00 -7.901076E-01
  2.860153E-01  1.726320E+00 -7.894909E-01
  2.718428E-01  1.741158E+00 -7.888721E-01
  2.435466E-01  1.754410E+00 -7.876367E-01
  2.152505E-01  1.741822E+00 -7.864012E-01
  2.092419E-01  1.726320E+00 -7.861389E-01
  2.138691E-01  1.697996E+00 -7.863409E-01
  2.152505E-01  1.692507E+00 -7.864012E-01
  2.209956E-01  1.669673E+00 -7.866521E-01
  2.196300E-01  1.641350E+00 -7.865925E-01
  2.373630E-01  1.613027E+00 -7.873667E-01
  2.373830E-01  1.584704E+00 -7.873676E-01
  2.435466E-01  1.574362E+00 -7.876367E-01
  2.585906E-01  1.556381E+00 -7.882935E-01
  2.652016E-01  1.528058E+00 -7.885822E-01
  2.718428E-01  1.506426E+00 -7.888721E-01
  2.755324E-01  1.499734E+00 -7.890332E-01
  2.940383E-01  1.471411E+00 -7.898412E-01
  2.997512E-01  1.443088E+00 -7.900906E-01
  3.001390E-01  1.442662E+00 -7.901076E-01
  3.284013E-01  1.414765E+00 -7.913415E-01
  3.284352E-01  1.414573E+00 -7.913430E-01
  3.470116E-01  1.386442E+00 -7.921541E-01
  3.567313E-01  1.381479E+00 -7.925784E-01
  3.624492E-01  1.386442E+00 -7.928281E-01
  3.850275E-01  1.405790E+00 -7.938139E-01
  3.874459E-01  1.414765E+00 -7.939195E-01
  3.850275E-01  1.421096E+00 -7.938139E-01
  3.734323E-01  1.443088E+00 -7.933076E-01
  3.850275E-01  1.470789E+00 -7.938139E-01
  3.851921E-01  1.471411E+00 -7.938211E-01
  3.850275E-01  1.471715E+00 -7.938139E-01
Slice   =    108 , Freq(kT, average of all copies)              =   0.3496
Orbit # =      0 , Freq(kT, this largest copy used for outline) =   0.3601
Points  =     45
  kx            ky            kz
  6.911864E+00  4.231019E+00  6.572257E-01
  6.901584E+00  4.251253E+00  6.576746E-01
  6.906078E+00  4.279576E+00  6.574783E-01
  6.899656E+00  4.307899E+00  6.577587E-01
  6.883584E+00  4.336222E+00  6.584604E-01
  6.883568E+00  4.336887E+00  6.584612E-01
  6.882638E+00  4.364545E+00  6.585017E-01
  6.865550E+00  4.392868E+00  6.592478E-01
  6.858454E+00  4.421192E+00  6.595576E-01
  6.855271E+00  4.427973E+00  6.596966E-01
  6.842924E+00  4.449515E+00  6.602357E-01
  6.826975E+00  4.475925E+00  6.609320E-01
  6.825241E+00  4.477838E+00  6.610077E-01
  6.826975E+00  4.493379E+00  6.609320E-01
  6.827754E+00  4.506161E+00  6.608980E-01
  6.826975E+00  4.507336E+00  6.609320E-01
  6.803058E+00  4.534484E+00  6.619763E-01
  6.798679E+00  4.544072E+00  6.621675E-01
